frame,t_rel,algorithm,controller,armed,detected,inferred,confidence,lane_center,left_x,right_x,error_px,smoothed_error_px,steer,command,p_term,i_term,d_term,left_duty,right_duty,latency_ms,loop_ms,fps,t_grayscale,t_blur,t_threshold,t_canny,t_roi,t_detect,t_control,t_render
1,0.7377,histogram,pid,0,1,0,0.0694,156.0649,6.3598,305.7701,-3.9351,-1.1805,-0.0984,STOP,-0.0984,-0.0,0.0,0.0,0.0,64.2292,0.0,0.0,0.6556,18.2718,0.9554,4.9048,0.1681,12.5903,0.2848,674.1275
2,0.7547,histogram,pid,0,1,0,0.0792,156.0158,6.2615,305.7701,-3.9842,-2.0216,-0.1184,STOP,-0.0996,-0.0187,-0.0,0.0,0.0,43.4904,729.0224,1.3717,0.4442,1.0733,0.5095,1.4074,0.0669,4.4323,0.1712,0.0
3,0.7705,histogram,pid,0,1,0,0.0708,156.7023,6.4255,306.9791,-3.2977,-2.4044,-0.0858,STOP,-0.0824,-0.0192,0.0159,0.0,0.0,26.6738,16.1748,61.8246,0.4873,1.0314,0.4885,1.3102,0.0693,4.2909,0.1608,0.0
4,0.8025,histogram,pid,0,1,0,0.0708,156.7023,6.4255,306.9791,-3.2977,-2.6724,-0.091,STOP,-0.0824,-0.0197,0.0111,0.0,0.0,42.2656,16.208,61.6979,0.4804,1.0149,0.399,1.25,0.0552,3.8977,0.1429,9.6718
5,0.8181,histogram,pid,0,1,0,0.0694,156.8258,6.6693,306.9823,-3.1742,-2.8229,-0.0908,STOP,-0.0794,-0.0207,0.0092,0.0,0.0,42.3702,32.0689,31.1828,0.4843,1.018,0.3939,1.0071,0.0621,3.9891,0.1516,0.0
6,0.8335,histogram,pid,0,1,0,0.0708,156.0805,6.3909,305.7701,-3.9195,-3.1519,-0.1313,STOP,-0.098,-0.0212,-0.0121,0.0,0.0,25.8135,15.0967,66.2395,0.448,1.0617,0.4047,1.0171,0.0532,4.3421,0.1531,0.0
7,0.8636,histogram,pid,0,1,0,0.0708,156.0805,6.3909,305.7701,-3.9195,-3.3822,-0.1282,STOP,-0.098,-0.0218,-0.0084,0.0,0.0,41.2824,15.7837,63.3565,0.4346,1.0649,0.4,1.0722,0.0554,4.0013,0.1425,9.2975
8,0.8792,histogram,pid,0,1,0,0.0708,156.6925,6.4026,306.9823,-3.3075,-3.3598,-0.1037,STOP,-0.0827,-0.0227,0.0017,0.0,0.0,40.1084,30.1121,33.2093,0.4296,0.9897,0.3989,1.356,0.0565,3.9177,0.1559,0.0
9,0.8943,histogram,pid,0,1,0,0.0722,156.7375,6.4926,306.9824,-3.2625,-3.3306,-0.1024,STOP,-0.0816,-0.0232,0.0023,0.0,0.0,24.5664,15.0505,66.4428,0.4818,1.0304,0.4017,1.0042,0.0666,4.1968,0.1494,0.0
10,0.9464,histogram,pid,0,1,0,0.0722,156.7375,6.4926,306.9824,-3.2625,-3.3102,-0.1036,STOP,-0.0816,-0.0237,0.0016,0.0,0.0,50.3822,15.5565,64.282,0.4123,1.0582,0.3916,1.1422,0.0582,9.0223,5.3356,13.7085
11,0.9831,histogram,pid,0,1,0,0.0681,156.7071,6.4319,306.9824,-3.2929,-3.305,-0.1067,STOP,-0.0823,-0.0254,0.0009,0.0,0.0,39.2772,54.5472,18.3327,0.5505,1.8684,0.5077,2.8959,0.1343,19.778,0.1653,0.0
12,1.0035,histogram,pid,0,1,0,0.0681,156.7071,6.4319,306.9824,-3.2929,-3.3013,-0.1082,STOP,-0.0823,-0.0266,0.0007,0.0,0.0,59.6919,39.1093,25.5693,0.4507,1.0112,0.4004,1.3438,0.0573,3.9672,0.1509,0.0
13,1.044,histogram,pid,0,1,0,0.0681,156.2878,6.4272,306.1484,-3.7122,-3.4246,-0.1297,STOP,-0.0928,-0.0271,-0.0098,0.0,0.0,23.8036,15.293,65.3893,0.4497,1.1852,0.5848,1.6863,0.0524,4.1214,0.1491,15.4582
14,1.0806,histogram,pid,0,1,0,0.0736,156.5145,6.0563,306.9726,-3.4855,-3.4429,-0.1208,STOP,-0.0871,-0.0286,-0.005,0.0,0.0,48.1985,45.7539,21.8561,0.5507,1.1666,0.9216,5.615,0.0881,10.3885,0.237,0.0
15,1.1035,histogram,pid,0,1,0,0.0681,155.7015,6.5633,304.8396,-4.2985,-3.6996,-0.1495,STOP,-0.1075,-0.03,-0.012,0.0,0.0,26.5869,35.9536,27.8136,1.7339,1.4083,0.6157,1.1032,0.058,5.0543,0.2216,0.0
16,1.1425,histogram,pid,0,1,0,0.0806,156.6175,6.2526,306.9824,-3.3825,-3.6045,-0.1093,STOP,-0.0846,-0.0308,0.006,0.0,0.0,33.5079,23.8458,41.9361,0.4572,1.0609,0.457,3.701,0.0492,5.9183,0.2233,9.947
17,1.1587,histogram,pid,0,1,0,0.0708,156.1255,6.4809,305.7701,-3.8745,-3.6855,-0.1301,STOP,-0.0969,-0.032,-0.0013,0.0,0.0,28.004,33.7869,29.5973,0.7743,1.1078,0.4569,1.44,0.056,3.9133,0.1448,0.0
