frame,t_rel,algorithm,controller,armed,detected,inferred,confidence,lane_center,left_x,right_x,error_px,smoothed_error_px,steer,command,p_term,i_term,d_term,left_duty,right_duty,latency_ms,loop_ms,fps,t_grayscale,t_blur,t_threshold,t_canny,t_roi,t_detect,t_control,t_render
1,0.7379,histogram,pid,0,1,0,0.1208,156.9449,5.9578,307.932,-3.0551,-0.9165,-0.0764,STOP,-0.0764,-0.0,0.0,0.0,0.0,61.037,0.0,0.0,0.6694,17.6403,1.02,3.4239,0.0978,10.8135,0.2102,675.2852
2,0.7544,histogram,pid,0,1,0,0.1292,156.5894,5.7657,307.4131,-3.4106,-1.6648,-0.1015,STOP,-0.0853,-0.016,-0.0003,0.0,0.0,43.0643,728.3975,1.3729,0.4467,1.1729,0.4968,1.3441,0.0624,3.7693,0.1781,0.0
3,0.7703,histogram,pid,0,1,0,0.1222,156.8469,6.2807,307.4131,-3.1531,-2.1113,-0.0893,STOP,-0.0788,-0.0165,0.006,0.0,0.0,25.1799,15.5599,64.2677,0.4455,1.0742,0.496,1.48,0.052,4.1278,0.1468,0.0
4,0.8256,histogram,pid,0,1,0,0.1222,156.8469,6.2807,307.4131,-3.1531,-2.4238,-0.0916,STOP,-0.0788,-0.017,0.0042,0.0,0.0,40.8933,16.2266,61.6271,0.4377,1.0575,0.3985,1.5278,0.0478,3.7147,0.1414,30.9027
5,0.842,histogram,pid,0,1,0,0.1236,156.8388,5.7456,307.932,-3.1612,-2.645,-0.0947,STOP,-0.079,-0.0186,0.0029,0.0,0.0,36.2559,55.1998,18.116,0.4608,1.0296,0.4686,1.5009,0.085,4.433,0.1484,0.0
6,0.8578,histogram,pid,0,1,0,0.1236,156.8388,5.7456,307.932,-3.1612,-2.7999,-0.0961,STOP,-0.079,-0.0191,0.002,0.0,0.0,52.1215,16.9791,58.8961,0.4388,1.0606,0.4024,1.3053,0.0509,3.6347,0.1458,0.0
7,0.9217,histogram,pid,0,1,0,0.1347,156.5947,5.8332,307.3562,-3.4053,-2.9815,-0.1094,STOP,-0.0851,-0.0196,-0.0047,0.0,0.0,31.2185,15.0283,66.5409,0.4409,1.0655,0.6847,3.6791,0.0836,4.1968,0.1449,34.5679
8,0.9406,histogram,pid,0,1,0,0.1222,156.8207,5.7093,307.932,-3.1793,-3.0409,-0.1029,STOP,-0.0795,-0.0215,-0.002,0.0,0.0,38.5075,64.6654,15.4642,0.6197,1.259,0.5358,1.6544,0.1192,5.5161,0.1689,0.0
9,0.963,histogram,pid,0,1,0,0.1222,156.8207,5.7093,307.932,-3.1793,-3.0824,-0.103,STOP,-0.0795,-0.0221,-0.0014,0.0,0.0,60.8354,20.6437,48.441,0.5142,2.2263,0.4849,2.3726,0.0689,5.4415,0.3076,0.0
10,1.0343,histogram,pid,0,1,0,0.1347,156.7722,6.0967,307.4477,-3.2278,-3.126,-0.1053,STOP,-0.0807,-0.0228,-0.0018,0.0,0.0,24.6486,22.3299,44.783,0.6056,1.3733,0.9669,1.4438,0.0435,4.3815,0.207,42.2551
11,1.0525,histogram,pid,0,1,0,0.1208,157.0062,6.0803,307.932,-2.9938,-3.0864,-0.0996,STOP,-0.0748,-0.0248,0.0,0.0,0.0,44.9304,69.9967,14.2864,0.4948,1.1062,0.4173,2.1059,0.0682,4.3775,0.2373,0.0
12,1.0757,histogram,pid,0,1,0,0.1194,156.9911,6.0501,307.932,-3.0089,-3.0631,-0.1008,STOP,-0.0752,-0.0253,-0.0003,0.0,0.0,38.3758,18.4598,54.1718,0.4729,2.2866,0.5154,2.9357,0.0716,6.8069,0.3649,0.0
13,1.1643,histogram,pid,0,1,0,0.1194,156.9911,6.0501,307.932,-3.0089,-3.0469,-0.1014,STOP,-0.0752,-0.026,-0.0002,0.0,0.0,68.5381,24.4015,40.9811,0.6968,1.2833,0.5036,8.8733,0.0506,7.6606,0.2662,46.8027
14,1.1795,histogram,pid,0,1,0,0.1181,156.9788,6.0257,307.932,-3.0212,-3.0392,-0.1041,STOP,-0.0755,-0.0284,-0.0002,0.0,0.0,26.134,85.8291,11.6511,0.4351,1.0197,0.3955,1.0895,0.0657,4.0344,0.1453,0.0
15,1.1948,histogram,pid,0,1,0,0.1181,156.9788,6.0257,307.932,-3.0212,-3.0338,-0.1045,STOP,-0.0755,-0.0288,-0.0001,0.0,0.0,41.4598,15.5677,64.2355,0.5033,1.0172,0.3993,1.277,0.0499,3.6576,0.1437,0.0
