frame,t_rel,algorithm,controller,armed,detected,inferred,confidence,lane_center,left_x,right_x,error_px,smoothed_error_px,steer,command,p_term,i_term,d_term,left_duty,right_duty,latency_ms,loop_ms,fps,t_grayscale,t_blur,t_threshold,t_canny,t_roi,t_detect,t_control,t_render
1,0.8608,histogram,pid,0,1,0,0.0222,155.5656,3.9307,307.2005,-4.4344,-1.3303,-0.1109,STOP,-0.1109,-0.0,0.0,0.0,0.0,67.299,0.0,0.0,0.6136,23.979,1.6661,7.4829,0.0886,6.4694,0.2397,783.9257
2,0.8785,histogram,pid,0,1,0,0.025,155.7787,4.3569,307.2005,-4.2213,-2.1976,-0.1252,STOP,-0.1055,-0.0198,0.0002,0.0,0.0,36.6714,848.362,1.1787,0.4475,1.1006,0.9408,1.7812,0.0612,4.4188,0.1688,0.0
3,0.897,histogram,pid,0,1,0,0.025,155.7787,4.3569,307.2005,-4.2213,-2.8047,-0.1259,STOP,-0.1055,-0.0205,0.0001,0.0,0.0,55.2309,17.5891,56.8535,0.4607,3.08,0.5128,1.8756,0.052,3.8151,0.1892,0.0
4,0.9545,histogram,pid,0,1,0,0.0208,155.6751,4.1436,307.2067,-4.3249,-3.2608,-0.1314,STOP,-0.1081,-0.0213,-0.002,0.0,0.0,32.5252,18.8127,53.1556,0.4352,1.159,0.3888,1.1018,0.0496,3.6151,0.1396,33.0811
5,0.9709,histogram,pid,0,1,0,0.0097,155.5418,3.8831,307.2005,-4.4582,-3.62,-0.1374,STOP,-0.1115,-0.0237,-0.0023,0.0,0.0,28.7628,56.8078,17.6032,0.4938,1.2817,0.4279,1.2603,0.0625,4.5975,0.149,0.0
6,0.9862,histogram,pid,0,1,0,0.0097,155.5418,3.8831,307.2005,-4.4582,-3.8715,-0.1374,STOP,-0.1115,-0.0244,-0.0016,0.0,0.0,44.0472,16.7999,59.5243,0.4401,1.0241,0.3936,1.1028,0.052,3.6235,0.1444,0.0
7,1.0427,histogram,pid,0,1,0,0.0319,155.8129,4.4518,307.174,-4.1871,-3.9662,-0.1238,STOP,-0.1047,-0.0249,0.0058,0.0,0.0,28.545,14.6937,68.0563,0.4423,1.1049,0.3958,0.9788,0.0509,4.4607,0.1422,33.4404
8,1.0629,histogram,pid,0,1,0,0.0222,155.7412,4.282,307.2005,-4.2588,-4.0539,-0.1301,STOP,-0.1065,-0.0272,0.0036,0.0,0.0,32.2084,56.325,17.7541,0.5262,4.5524,0.4416,1.5068,0.061,5.0291,0.2447,0.0
9,1.084,histogram,pid,0,1,0,0.0222,155.7412,4.282,307.2005,-4.2588,-4.1154,-0.132,STOP,-0.1065,-0.028,0.0025,0.0,0.0,53.2426,21.144,47.2947,0.481,2.1429,0.638,1.5458,0.0651,6.8857,0.3412,0.0
10,1.1769,histogram,pid,0,1,0,0.0222,155.7412,4.282,307.2005,-4.2588,-4.1584,-0.1337,STOP,-0.1065,-0.029,0.0018,0.0,0.0,89.3753,24.47,40.8663,0.775,2.1731,0.7848,3.5811,0.0612,16.2993,0.2054,49.0236
11,1.1957,histogram,pid,0,1,0,0.0333,155.9022,4.6039,307.2005,-4.0978,-4.1402,-0.133,STOP,-0.1024,-0.0325,0.0019,0.0,0.0,32.9953,89.873,11.1268,0.6922,2.4843,0.5512,1.3176,0.0517,4.5691,0.1408,0.0
12,1.2112,histogram,pid,0,1,0,0.0208,155.7731,4.3458,307.2005,-4.2269,-4.1662,-0.1402,STOP,-0.1057,-0.0332,-0.0014,0.0,0.0,23.2548,17.759,56.3095,0.4278,1.1153,0.3911,1.3169,0.0621,3.8984,0.2078,0.0
13,1.2659,histogram,pid,0,1,0,0.0208,155.7731,4.3458,307.2005,-4.2269,-4.1844,-0.1404,STOP,-0.1057,-0.0338,-0.001,0.0,0.0,38.9695,15.8541,63.075,0.7392,1.0676,0.3914,1.2992,0.0499,3.6135,0.145,32.4192
14,1.2848,histogram,pid,0,1,0,0.0181,155.7384,4.2764,307.2005,-4.2616,-4.2076,-0.1434,STOP,-0.1065,-0.036,-0.0009,0.0,0.0,27.0575,54.1581,18.4644,0.475,1.2338,0.4642,1.5936,0.0936,6.7633,0.208,0.0
15,1.3003,histogram,pid,0,1,0,0.0181,155.7384,4.2764,307.2005,-4.2616,-4.2238,-0.1439,STOP,-0.1065,-0.0367,-0.0006,0.0,0.0,42.6475,19.7258,50.6951,0.4201,1.0906,0.4148,1.0307,0.0522,3.7294,0.1508,0.0
16,1.374,histogram,pid,0,1,0,0.0236,155.8733,4.5462,307.2005,-4.1267,-4.1946,-0.1376,STOP,-0.1032,-0.0373,0.0029,0.0,0.0,26.6366,14.9534,66.8742,0.4513,1.0563,0.4565,3.0791,0.0436,4.8735,0.2095,46.5565
17,1.399,histogram,pid,0,1,0,0.0319,155.9311,4.6618,307.2005,-4.0689,-4.1569,-0.1396,STOP,-0.1017,-0.0402,0.0023,0.0,0.0,42.8424,75.9879,13.16,0.4807,1.1616,0.7846,2.2724,0.0782,9.4975,0.1958,0.0
18,1.4175,histogram,pid,0,1,0,0.0208,155.7223,4.2442,307.2005,-4.2777,-4.1931,-0.1498,STOP,-0.1069,-0.0412,-0.0017,0.0,0.0,34.6018,23.4112,42.7147,0.4674,3.7876,0.4484,1.1173,0.0541,3.6845,0.1382,0.0
