frame,t_rel,algorithm,controller,armed,detected,inferred,confidence,lane_center,left_x,right_x,error_px,smoothed_error_px,steer,command,p_term,i_term,d_term,left_duty,right_duty,latency_ms,loop_ms,fps,t_grayscale,t_blur,t_threshold,t_canny,t_roi,t_detect,t_control,t_render
1,0.942,histogram,pid,0,1,0,1.0,153.066,12.4473,293.6847,-6.934,-2.0802,-0.1734,STOP,-0.1734,-0.0001,0.0,0.0,0.0,66.565,0.0,0.0,0.9722,21.2223,1.7909,5.8339,0.0966,6.746,0.2689,867.9882
2,0.9591,histogram,pid,0,1,0,1.0,152.915,12.4473,293.3827,-7.085,-3.5816,-0.2105,STOP,-0.1771,-0.0333,-0.0001,0.0,0.0,26.755,929.2328,1.0762,0.4343,1.111,0.5176,1.6763,0.0762,4.5352,0.1976,0.0
3,0.9751,histogram,pid,0,1,0,1.0,152.915,12.4473,293.3827,-7.085,-4.6326,-0.2116,STOP,-0.1771,-0.0344,-0.0001,0.0,0.0,42.7646,16.8821,59.2343,0.4099,1.0264,0.5339,1.2373,0.0507,4.363,0.1399,0.0
4,1.0351,histogram,pid,0,1,0,1.0,156.3213,12.4473,300.1952,-3.6787,-4.3465,-0.0456,STOP,-0.092,-0.0349,0.0813,0.0,0.0,28.569,15.6953,63.7134,0.4349,1.0546,0.4457,1.6808,0.0521,4.6906,0.1808,34.6715
5,1.0513,histogram,pid,0,1,0,1.0,152.9033,12.4473,293.3593,-7.0967,-5.1715,-0.1808,STOP,-0.1774,-0.0389,0.0356,0.0,0.0,24.9692,60.0159,16.6623,0.4378,1.0128,0.3867,1.2379,0.0548,4.885,0.1892,0.0
6,1.0671,histogram,pid,0,1,0,1.0,152.9033,12.4473,293.3593,-7.0967,-5.7491,-0.1925,STOP,-0.1774,-0.04,0.0249,0.0,0.0,40.7371,16.3751,61.0685,0.4353,1.014,0.4435,1.1313,0.0707,4.4025,0.1463,0.0
7,1.1248,histogram,pid,0,1,0,1.0,152.1209,12.4473,291.7945,-7.8791,-6.3881,-0.2399,STOP,-0.197,-0.0412,-0.0017,0.0,0.0,27.5448,15.309,65.321,0.4376,1.016,0.3888,1.0991,0.0662,4.7479,0.1438,33.156
8,1.1479,histogram,pid,0,1,0,1.0,153.3064,12.4473,294.1654,-6.6936,-6.4798,-0.2059,STOP,-0.1673,-0.0449,0.0063,0.0,0.0,25.7971,59.2473,16.8784,0.4384,1.8913,0.4352,2.4321,0.0982,8.049,0.3267,0.0
9,1.1855,histogram,pid,0,1,0,1.0,153.3064,12.4473,294.1654,-6.6936,-6.5439,-0.2097,STOP,-0.1673,-0.0468,0.0044,0.0,0.0,63.3555,30.2584,33.0487,0.5801,1.9933,0.8491,2.4024,0.0559,13.961,1.1668,0.0
10,1.2673,histogram,pid,0,1,0,1.0,153.3422,12.4473,294.2371,-6.6578,-6.5781,-0.2116,STOP,-0.1664,-0.0487,0.0035,0.0,0.0,40.4983,30.1566,33.1603,0.4796,2.0687,0.5396,2.0299,0.0578,6.1528,0.209,53.4569
11,1.2952,histogram,pid,0,1,0,1.0,152.2459,12.4473,292.0446,-7.7541,-6.9309,-0.2511,STOP,-0.1939,-0.055,-0.0022,0.0,0.0,51.2883,87.3644,11.4463,0.5115,1.3035,0.5657,1.8141,0.0605,8.742,0.2747,0.0
