frame,t_rel,algorithm,controller,armed,detected,inferred,confidence,lane_center,left_x,right_x,error_px,smoothed_error_px,steer,command,p_term,i_term,d_term,left_duty,right_duty,latency_ms,loop_ms,fps,t_grayscale,t_blur,t_threshold,t_canny,t_roi,t_detect,t_control,t_render
1,0.7553,histogram,pid,0,1,0,0.0278,156.1686,4.7401,307.5971,-3.8314,-1.1494,-0.0958,STOP,-0.0958,-0.0,0.0,0.0,0.0,64.2902,0.0,0.0,0.6472,21.1084,1.5689,5.9939,0.1527,7.4383,0.3042,683.7846
2,0.772,histogram,pid,0,1,0,0.025,155.999,4.3941,307.604,-4.001,-2.0049,-0.1189,STOP,-0.1,-0.0188,-0.0001,0.0,0.0,27.622,745.3339,1.3417,0.4217,1.0493,0.5687,1.7438,0.071,4.0482,0.219,0.0
3,0.7874,histogram,pid,0,1,0,0.025,155.999,4.3941,307.604,-4.001,-2.6037,-0.1195,STOP,-0.1,-0.0194,-0.0001,0.0,0.0,42.9795,17.077,58.5582,0.4774,0.6441,0.5308,1.0374,0.0518,3.6283,0.1423,0.0
4,0.8447,histogram,pid,0,1,0,0.0278,156.0171,4.4377,307.5966,-3.9829,-3.0174,-0.1191,STOP,-0.0996,-0.02,0.0004,0.0,0.0,27.4615,14.2801,70.0273,0.5214,0.7545,0.4138,1.5409,0.0945,3.9361,0.1731,32.6748
5,0.8594,histogram,pid,0,1,0,0.0264,156.2095,4.8219,307.5971,-3.7905,-3.2494,-0.1152,STOP,-0.0948,-0.022,0.0015,0.0,0.0,21.0938,57.6188,17.3554,0.443,0.6843,0.4377,0.9488,0.0552,3.8303,0.1993,0.0
6,0.8759,histogram,pid,0,1,0,0.0264,156.2095,4.8219,307.5971,-3.7905,-3.4117,-0.1162,STOP,-0.0948,-0.0225,0.0011,0.0,0.0,37.5887,15.0418,66.4814,0.6549,1.1288,0.3915,1.9495,0.0626,3.7657,0.1427,0.0
7,0.9318,histogram,pid,0,1,0,0.0194,156.0118,4.4196,307.604,-3.9882,-3.5846,-0.1268,STOP,-0.0997,-0.0231,-0.0039,0.0,0.0,23.1643,15.8702,63.0111,0.4233,1.0007,0.3929,1.2008,0.0506,3.7076,0.1987,32.8349
8,0.9503,histogram,pid,0,1,0,0.0292,156.0587,4.4959,307.6216,-3.9413,-3.6916,-0.1262,STOP,-0.0985,-0.0252,-0.0024,0.0,0.0,50.8475,56.338,17.75,0.4377,1.0078,0.391,1.2905,0.0501,3.6921,3.4177,0.0
9,0.9885,histogram,pid,0,1,0,0.0361,156.4026,5.2087,307.5966,-3.5974,-3.6633,-0.1131,STOP,-0.0899,-0.0262,0.003,0.0,0.0,51.9061,27.5589,36.286,6.8427,1.7162,0.5437,5.8017,0.0723,5.559,0.2331,0.0
10,1.0825,histogram,pid,0,1,0,0.0361,156.3212,5.0633,307.5791,-3.6788,-3.668,-0.1183,STOP,-0.092,-0.0278,0.0014,0.0,0.0,67.5447,46.8126,21.3618,4.3349,1.3797,0.5698,5.666,0.0535,8.3233,0.1497,37.5117
11,1.1005,histogram,pid,0,1,0,0.0264,156.068,4.5388,307.5971,-3.932,-3.7472,-0.1291,STOP,-0.0983,-0.0306,-0.0002,0.0,0.0,44.533,76.1099,13.1389,0.4492,1.0781,0.708,1.4207,0.0543,5.968,0.276,0.0
12,1.1251,histogram,pid,0,1,0,0.0319,156.1308,4.6824,307.5791,-3.8692,-3.7838,-0.127,STOP,-0.0967,-0.0313,0.001,0.0,0.0,26.8054,19.898,50.2564,0.5253,1.2773,0.7202,4.3151,0.0853,7.0859,0.4188,0.0
13,1.2028,histogram,pid,0,1,0,0.0319,156.1308,4.6824,307.5791,-3.8692,-3.8094,-0.1282,STOP,-0.0967,-0.0322,0.0007,0.0,0.0,57.2515,25.7359,38.8563,0.5434,4.6274,0.5909,3.528,0.1289,8.9841,0.2273,40.7813
14,1.2192,histogram,pid,0,1,0,0.0319,156.0404,4.5017,307.5791,-3.9596,-3.8545,-0.134,STOP,-0.099,-0.035,0.0,0.0,0.0,35.1897,75.1258,13.311,0.4499,1.6299,0.6274,1.496,0.0381,3.6043,0.1474,0.0
15,1.2341,histogram,pid,0,1,0,0.0347,156.4072,5.2178,307.5966,-3.5928,-3.776,-0.1167,STOP,-0.0898,-0.0355,0.0087,0.0,0.0,19.388,15.8627,63.0411,0.4423,1.0108,0.3886,1.2941,0.0505,3.5927,0.2213,0.0
16,1.2866,histogram,pid,0,1,0,0.0347,156.4072,5.2178,307.5966,-3.5928,-3.721,-0.1198,STOP,-0.0898,-0.036,0.0061,0.0,0.0,35.6209,14.8103,67.5207,0.6063,2.1834,0.4405,1.3395,0.0482,3.6645,0.1518,33.8216
17,1.3012,histogram,pid,0,1,0,0.0222,155.8572,4.0998,307.6147,-4.1428,-3.8476,-0.1413,STOP,-0.1036,-0.0381,0.0003,0.0,0.0,23.7066,52.499,19.048,0.4438,0.6571,0.3933,1.1199,0.0532,4.0228,0.1449,0.0
18,1.3163,histogram,pid,0,1,0,0.0222,155.8572,4.0998,307.6147,-4.1428,-3.9361,-0.142,STOP,-0.1036,-0.0387,0.0002,0.0,0.0,38.7226,15.0717,66.3496,0.4305,1.0384,0.3966,1.0866,0.0519,3.6453,0.1399,0.0
19,1.3831,histogram,pid,0,1,0,0.0208,155.8933,4.2145,307.5722,-4.1067,-3.9873,-0.1408,STOP,-0.1027,-0.0392,0.0011,0.0,0.0,26.1451,14.6735,68.1499,0.4404,1.0411,0.5051,1.5064,0.0848,5.4951,0.2277,35.2657
20,1.4128,histogram,pid,0,1,0,0.0333,156.1486,4.6931,307.604,-3.8514,-3.9465,-0.1358,STOP,-0.0963,-0.0417,0.0022,0.0,0.0,30.0419,67.1989,14.8812,0.4948,5.8242,0.7713,6.229,0.0795,7.3729,0.2493,0.0
21,1.4394,histogram,pid,0,1,0,0.0333,156.1486,4.6931,307.604,-3.8514,-3.918,-0.1377,STOP,-0.0963,-0.043,0.0015,0.0,0.0,56.7412,36.0434,27.7443,0.4969,1.2584,0.4664,2.9273,0.056,6.6175,0.143,0.0
22,1.5093,histogram,pid,0,1,0,0.0264,156.1123,4.6349,307.5898,-3.8877,-3.9089,-0.1405,STOP,-0.0972,-0.0437,0.0004,0.0,0.0,36.6856,20.1565,49.6117,0.4351,1.0897,0.4372,1.5886,0.0514,4.077,0.1629,45.1388
23,1.526,histogram,pid,0,1,0,0.0278,156.0802,4.5385,307.622,-3.9198,-3.9122,-0.1442,STOP,-0.098,-0.0463,0.0001,0.0,0.0,17.3494,70.0165,14.2824,0.4371,1.5371,0.4741,1.1991,0.0531,4.4522,0.2373,0.0
24,1.5418,histogram,pid,0,1,0,0.0278,156.0802,4.5385,307.622,-3.9198,-3.9144,-0.1448,STOP,-0.098,-0.0469,0.0001,0.0,0.0,33.1551,17.1206,58.4093,0.469,1.0422,0.4,1.1262,0.0554,3.8566,0.1426,0.0
25,1.6055,histogram,pid,0,1,0,0.0333,156.2603,4.924,307.5966,-3.7397,-3.862,-0.1364,STOP,-0.0935,-0.0474,0.0045,0.0,0.0,28.0523,15.1872,65.8448,0.4986,1.1179,0.4358,1.2747,0.0548,4.1912,0.1576,41.2414
