frame,t_rel,algorithm,controller,armed,detected,inferred,confidence,lane_center,left_x,right_x,error_px,smoothed_error_px,steer,command,p_term,i_term,d_term,left_duty,right_duty,latency_ms,loop_ms,fps,t_grayscale,t_blur,t_threshold,t_canny,t_roi,t_detect,t_control,t_render
1,5.5667,histogram,bangbang,0,1,0,0.1639,158.3378,9.5286,307.1469,-1.6622,-0.4987,0.0,STOP,0.0,0.0,0.0,0.0,0.0,233.2924,0.0,0.0,34.3367,64.4599,12.9022,47.1026,0.0621,28.8973,0.0273,5291.3375
2,5.5807,histogram,bangbang,0,1,0,0.1639,157.7834,9.328,306.2388,-2.2166,-1.0141,0.0,STOP,0.0,0.0,0.0,0.0,0.0,34.1981,5531.8209,0.1808,0.5619,1.7144,0.5221,1.6185,0.0804,7.2753,0.0152,0.0
3,5.5915,histogram,bangbang,0,1,0,0.1639,157.7834,9.328,306.2388,-2.2166,-1.3748,0.0,STOP,0.0,0.0,0.0,0.0,0.0,45.0147,14.8972,67.1266,0.6904,1.0947,0.4384,1.1742,0.1408,4.3015,0.0091,0.0
4,5.6005,histogram,bangbang,0,1,0,0.1639,157.7222,9.2107,306.2337,-2.2778,-1.6457,0.0,STOP,0.0,0.0,0.0,0.0,0.0,17.1678,9.3289,107.1937,0.3949,1.0777,0.4672,1.3677,0.0508,4.1675,0.0089,0.0
5,5.6282,histogram,bangbang,0,1,0,0.1639,157.7222,9.2107,306.2337,-2.2778,-1.8353,0.0,STOP,0.0,0.0,0.0,0.0,0.0,28.333,9.0931,109.9731,0.4941,1.1501,0.4791,1.9222,0.0763,5.326,0.0087,10.2973
6,5.6376,histogram,bangbang,0,1,0,0.1639,157.7394,9.2867,306.1922,-2.2606,-1.9629,0.0,STOP,0.0,0.0,0.0,0.0,0.0,23.5371,27.6784,36.1292,0.4011,1.0888,0.4158,1.4322,0.0607,4.4095,0.0111,0.0
7,5.6487,histogram,bangbang,0,1,0,0.1639,157.7394,9.2867,306.1922,-2.2606,-2.0522,0.0,STOP,0.0,0.0,0.0,0.0,0.0,34.6558,9.5245,104.9927,0.4335,1.6434,0.7034,2.667,0.0367,3.9848,0.0104,0.0
8,5.6614,histogram,bangbang,0,1,0,0.1639,157.7305,9.2223,306.2388,-2.2695,-2.1174,0.0,STOP,0.0,0.0,0.0,0.0,0.0,17.5483,10.91,91.6589,0.392,1.085,0.44,1.1478,0.051,5.1799,0.0111,0.0
9,5.69,histogram,bangbang,0,1,0,0.1639,157.7305,9.2223,306.2388,-2.2695,-2.163,0.0,STOP,0.0,0.0,0.0,0.0,0.0,28.4337,12.9907,76.9781,0.4671,1.0816,0.4519,1.354,0.0616,5.6058,0.0104,12.5978
10,5.703,histogram,bangbang,0,1,0,0.1639,157.7315,9.3003,306.1627,-2.2685,-2.1946,0.0,STOP,0.0,0.0,0.0,0.0,0.0,24.6424,28.9028,34.5987,0.4684,2.0057,0.5391,1.9922,0.0705,5.6347,0.0121,0.0
11,5.717,histogram,bangbang,0,1,0,0.1639,157.7315,9.3003,306.1627,-2.2685,-2.2168,0.0,STOP,0.0,0.0,0.0,0.0,0.0,38.6723,12.7986,78.1334,0.95,2.3348,0.7318,2.6682,0.0733,5.2329,0.0113,0.0
12,5.7333,histogram,bangbang,0,1,0,0.1639,158.1332,9.2037,307.0627,-1.8668,-2.1118,0.0,STOP,0.0,0.0,0.0,0.0,0.0,23.9337,13.8825,72.0334,0.593,1.9481,0.54,5.7187,0.0723,5.4885,0.0107,0.0
13,5.7961,histogram,bangbang,0,1,0,0.1639,158.1332,9.2037,307.0627,-1.8668,-2.0383,0.0,STOP,0.0,0.0,0.0,0.0,0.0,49.3881,16.6449,60.0783,0.5302,6.1055,0.7809,2.1651,0.0587,13.3191,0.0119,16.2212
14,5.8197,histogram,bangbang,0,1,0,0.1639,157.7574,9.276,306.2388,-2.2426,-2.0996,0.0,STOP,0.0,0.0,0.0,0.0,0.0,24.8454,63.3509,15.7851,0.7629,5.0111,1.8754,5.2254,0.0555,7.8373,0.0158,0.0
15,5.8484,histogram,bangbang,0,1,0,0.1639,157.7574,9.276,306.2388,-2.2426,-2.1425,0.0,STOP,0.0,0.0,0.0,0.0,0.0,53.4152,22.5994,44.2489,0.4096,6.3676,0.5956,6.688,0.0908,12.5115,0.0213,0.0
16,5.8672,histogram,bangbang,0,1,0,0.1639,157.7153,9.2607,306.17,-2.2847,-2.1851,0.0,STOP,0.0,0.0,0.0,0.0,0.0,22.9492,29.325,34.1006,0.6245,2.894,0.5808,2.9324,0.0711,8.8376,0.0208,0.0
17,5.9102,histogram,bangbang,0,1,0,0.1639,157.7153,9.2607,306.17,-2.2847,-2.215,0.0,STOP,0.0,0.0,0.0,0.0,0.0,48.2522,19.1674,52.1718,1.0727,1.7669,0.5584,10.5065,0.0762,8.2852,0.0098,12.4944
18,5.9248,histogram,bangbang,0,1,0,0.1639,157.795,9.3758,306.2143,-2.205,-2.212,0.0,STOP,0.0,0.0,0.0,0.0,0.0,28.4699,42.4644,23.5491,0.4693,1.2037,0.5852,1.5828,0.0855,8.1174,0.0185,0.0
19,5.9425,histogram,bangbang,0,1,0,0.1639,157.795,9.3758,306.2143,-2.205,-2.2099,0.0,STOP,0.0,0.0,0.0,0.0,0.0,46.1452,16.427,60.8755,0.5655,1.7337,0.4954,2.0345,0.1334,8.4353,0.0155,0.0
20,5.9569,histogram,bangbang,0,1,0,0.1639,157.6504,9.4168,305.8841,-2.3496,-2.2518,0.0,STOP,0.0,0.0,0.0,0.0,0.0,16.4995,17.2962,57.8161,0.7481,1.207,0.4635,1.3775,0.1568,6.3726,0.0118,0.0
21,5.9873,histogram,bangbang,0,1,0,0.1639,157.6504,9.4168,305.8841,-2.3496,-2.2811,0.0,STOP,0.0,0.0,0.0,0.0,0.0,32.0548,18.9618,52.7377,0.4485,1.2383,0.7225,0.9384,0.0516,4.082,0.0084,9.3466
22,5.9964,histogram,bangbang,0,1,0,0.1639,157.5756,9.1257,306.0256,-2.4244,-2.3241,0.0,STOP,0.0,0.0,0.0,0.0,0.0,29.7128,24.3526,41.0634,0.4108,1.0126,0.4436,1.1837,0.0501,4.0437,0.0085,0.0
23,6.0051,histogram,bangbang,0,1,0,0.1639,157.6407,9.2466,306.0347,-2.3593,-2.3347,0.0,STOP,0.0,0.0,0.0,0.0,0.0,16.605,8.5303,117.2287,0.3836,1.0866,0.4193,1.3365,0.0543,3.9987,0.0091,0.0
24,6.0142,histogram,bangbang,0,1,0,0.1639,157.6407,9.2466,306.0347,-2.3593,-2.3421,0.0,STOP,0.0,0.0,0.0,0.0,0.0,25.7177,8.7718,114.0012,0.4396,1.0332,0.4167,1.3181,0.0597,4.3042,0.0089,0.0
25,6.051,histogram,bangbang,0,1,0,0.1639,157.6407,9.2466,306.0347,-2.3593,-2.3473,0.0,STOP,0.0,0.0,0.0,0.0,0.0,37.238,9.2156,108.5119,0.4241,1.0715,0.5609,2.5825,0.0557,5.1718,0.0107,14.6618
26,6.0654,histogram,bangbang,0,1,0,0.1639,157.6815,9.2866,306.0763,-2.3185,-2.3386,0.0,STOP,0.0,0.0,0.0,0.0,0.0,41.0388,40.9964,24.3924,0.9009,1.4116,0.6354,1.5907,0.0506,4.0109,0.0091,0.0
27,6.0745,histogram,bangbang,0,1,0,0.1639,157.7382,9.2182,306.2581,-2.2618,-2.3156,0.0,STOP,0.0,0.0,0.0,0.0,0.0,16.2717,10.1126,98.8867,0.3946,1.0362,0.4036,1.2276,0.0555,4.4072,0.0097,0.0
28,6.084,histogram,bangbang,0,1,0,0.1639,157.7382,9.2182,306.2581,-2.2618,-2.2995,0.0,STOP,0.0,0.0,0.0,0.0,0.0,25.7788,9.1155,109.7029,0.3961,1.0341,0.4573,1.2105,0.0623,4.8291,0.0089,0.0
29,6.1085,histogram,bangbang,0,1,0,0.1639,157.7382,9.2182,306.2581,-2.2618,-2.2882,0.0,STOP,0.0,0.0,0.0,0.0,0.0,35.8182,9.6681,103.4333,0.6046,1.1478,1.1286,1.4051,0.0475,4.0588,0.0091,9.0183
30,6.122,histogram,bangbang,0,1,0,0.1639,157.5726,9.176,305.9692,-2.4274,-2.3299,0.0,STOP,0.0,0.0,0.0,0.0,0.0,32.6697,24.3586,41.0533,0.4242,1.1258,0.4868,1.6086,0.0912,7.9053,0.0249,0.0
