frame,t_rel,algorithm,controller,armed,detected,inferred,confidence,lane_center,left_x,right_x,error_px,smoothed_error_px,steer,command,p_term,i_term,d_term,left_duty,right_duty,latency_ms,loop_ms,fps,t_grayscale,t_blur,t_threshold,t_canny,t_roi,t_detect,t_control,t_render
1,3.8897,histogram,pid,0,1,0,0.375,159.2416,11.0793,307.404,-0.7584,-0.2275,-0.019,STOP,-0.019,-0.0,0.0,0.0,0.0,190.6112,0.0,0.0,19.5191,53.3323,13.4563,50.3884,0.0607,15.7631,0.2166,3694.9954
2,3.9005,histogram,pid,0,1,0,0.375,159.181,10.9493,307.4128,-0.819,-0.4049,-0.0244,STOP,-0.0205,-0.0038,-0.0,0.0,0.0,13.8231,3862.173,0.2589,0.43,1.1758,0.4341,2.4067,0.0612,4.3805,0.1882,0.0
3,3.9123,histogram,pid,0,1,0,0.375,159.181,10.9493,307.4128,-0.819,-0.5291,-0.0244,STOP,-0.0205,-0.0039,-0.0,0.0,0.0,25.5707,10.5605,94.6926,0.4379,1.0215,0.3987,2.8639,0.05,5.3969,0.1473,0.0
4,3.9233,histogram,pid,0,1,0,0.375,159.181,10.9493,307.4128,-0.819,-0.6161,-0.0245,STOP,-0.0205,-0.004,-0.0,0.0,0.0,36.5392,11.813,84.6523,0.5677,1.1233,0.4657,1.3298,0.0546,5.7394,0.1585,0.0
5,4.0129,histogram,pid,0,1,0,0.375,159.181,10.9493,307.4128,-0.819,-0.677,-0.0246,STOP,-0.0205,-0.0041,-0.0,0.0,0.0,48.381,11.8283,84.5427,0.425,1.0594,0.4161,1.0774,0.0564,6.0643,0.2567,63.3275
6,4.0259,histogram,pid,0,1,0,0.375,159.207,10.9936,307.4204,-0.793,-0.7118,-0.0245,STOP,-0.0198,-0.0048,0.0001,0.0,0.0,22.5515,89.3584,11.1909,0.4878,0.7438,0.4072,2.253,0.0635,6.5193,0.2448,0.0
7,4.0369,histogram,pid,0,1,0,0.375,159.207,10.9936,307.4204,-0.793,-0.7361,-0.0246,STOP,-0.0198,-0.0049,0.0001,0.0,0.0,33.6725,13.6,73.5292,0.4741,0.7272,0.4582,0.8326,0.0585,5.5541,0.1785,0.0
8,4.0548,histogram,pid,0,1,0,0.3736,159.254,11.0952,307.4128,-0.746,-0.7391,-0.0218,STOP,-0.0186,-0.0049,0.0018,0.0,0.0,19.5478,10.0194,99.8064,0.4468,3.6254,0.4796,1.5514,0.061,9.6312,0.2278,0.0
9,4.1646,histogram,pid,0,1,0,0.3736,159.254,11.0952,307.4128,-0.746,-0.7412,-0.0225,STOP,-0.0186,-0.0051,0.0013,0.0,0.0,36.251,17.8682,55.9652,0.4355,1.1796,0.4741,2.6944,0.0848,4.8331,0.1841,48.7678
10,4.176,histogram,pid,0,1,0,0.3764,159.2094,11.0179,307.4009,-0.7906,-0.756,-0.0249,STOP,-0.0198,-0.0059,0.0007,0.0,0.0,29.4626,109.9114,9.0982,0.452,1.3309,0.476,1.6499,0.0762,5.4006,0.1568,0.0
11,4.1882,histogram,pid,0,1,0,0.3764,159.2094,11.0179,307.4009,-0.7906,-0.7664,-0.0252,STOP,-0.0198,-0.006,0.0005,0.0,0.0,41.6663,12.7256,78.5819,1.5951,1.1044,0.462,1.3343,0.0499,4.4291,0.1481,0.0
12,4.2007,histogram,pid,0,1,0,0.3778,159.2247,11.0485,307.4009,-0.7753,-0.769,-0.0245,STOP,-0.0194,-0.0061,0.0009,0.0,0.0,19.6562,10.559,94.7057,0.4291,1.2413,0.4912,2.4961,0.0524,6.2104,0.1737,0.0
