frame,t_rel,algorithm,controller,armed,detected,inferred,confidence,lane_center,left_x,right_x,error_px,smoothed_error_px,steer,command,p_term,i_term,d_term,left_duty,right_duty,latency_ms,loop_ms,fps,t_grayscale,t_blur,t_threshold,t_canny,t_roi,t_detect,t_control,t_render
1,1.1758,canny_hough,pid,0,1,1,0.45,319.0,,459.5291,159.0,47.7,1.0,STOP,3.975,0.0,0.0,0.0,0.0,122.9715,0.0,0.0,1.1706,29.1796,1.1889,5.519,0.0958,71.1358,0.1784,1042.6619
2,1.1902,canny_hough,pid,0,1,1,0.6,319.0,,452.4003,159.0,81.09,1.0,STOP,3.975,0.0,0.0,0.0,0.0,38.2446,1167.002,0.8569,0.4471,1.6898,0.5863,2.9371,0.0671,5.9967,0.1837,0.0
3,1.201,canny_hough,pid,0,0,0,0.0,0.0,,,0.0,56.763,1.0,STOP,3.975,0.0,0.0,0.0,0.0,15.2192,13.6452,73.2857,0.3916,2.0367,0.4179,1.6303,0.0517,4.7486,0.0107,0.0
4,1.2116,canny_hough,pid,0,0,0,0.0,0.0,,,0.0,39.7341,1.0,STOP,3.975,0.0,0.0,0.0,0.0,25.8342,10.795,92.6358,0.3837,1.2087,0.4326,1.9161,0.059,5.0052,0.0142,0.0
5,1.2409,canny_hough,pid,0,0,0,0.0,0.0,,,0.0,27.8139,1.0,STOP,3.975,0.0,0.0,0.0,0.0,39.0023,10.6961,93.4919,1.3247,2.7114,0.4966,1.1555,0.0693,5.6838,0.0133,9.6221
6,1.2536,canny_hough,pid,0,0,0,0.0,0.0,,,0.0,19.4697,1.0,STOP,3.975,0.0,0.0,0.0,0.0,37.2064,29.3488,34.0729,0.4003,1.0626,0.45,3.9628,0.0373,5.1623,0.0084,0.0
7,1.2631,canny_hough,pid,0,0,0,0.0,0.0,,,0.0,13.6288,1.0,STOP,3.975,0.0,0.0,0.0,0.0,46.7313,12.7153,78.6455,0.3959,1.0067,0.4025,1.4999,0.052,4.5494,0.0092,0.0
8,1.2736,canny_hough,pid,0,0,0,0.0,0.0,,,0.0,9.5402,1.0,STOP,3.975,0.0,0.0,0.0,0.0,19.4522,9.3395,107.0723,0.3914,1.5276,0.4268,1.1998,0.0522,5.3925,0.0102,0.0
9,1.2988,canny_hough,pid,0,0,0,0.0,0.0,,,0.0,6.6781,1.0,STOP,3.975,0.0,0.0,0.0,0.0,31.4842,10.6375,94.0068,0.4311,2.3953,0.4743,1.4118,0.0699,5.5075,0.0087,7.8716
10,1.3101,canny_hough,pid,0,0,0,0.0,0.0,,,0.0,4.6747,1.0,STOP,3.975,0.0,0.0,0.0,0.0,28.1868,25.1468,39.7664,0.4088,1.3867,0.475,1.7221,0.067,5.5853,0.0073,0.0
11,1.3213,canny_hough,pid,0,0,0,0.0,0.0,,,0.0,3.2723,1.0,STOP,3.975,0.0,0.0,0.0,0.0,39.3117,11.6068,86.1562,0.4421,1.6236,0.6085,1.4864,0.0508,5.0049,0.0085,0.0
12,1.3304,canny_hough,pid,0,0,0,0.0,0.0,,,0.0,2.2906,1.0,STOP,3.975,0.0,0.0,0.0,0.0,15.0223,10.693,93.5187,0.3949,1.0199,0.4028,1.3199,0.058,4.5034,0.0092,0.0
13,1.3516,canny_hough,pid,0,0,0,0.0,0.0,,,0.0,1.6034,1.0,STOP,3.975,0.0,0.0,0.0,0.0,25.0678,9.1565,109.2125,0.4113,1.4009,0.4793,1.3354,0.0554,4.896,0.0099,8.7355
14,1.361,canny_hough,pid,0,0,0,0.0,0.0,,,0.0,1.1224,1.0,STOP,3.975,0.0,0.0,0.0,0.0,17.515,21.3366,46.8679,0.4469,1.0205,0.3969,1.3278,0.0519,4.5719,0.0081,0.0
15,1.3714,canny_hough,pid,0,0,0,0.0,0.0,,,0.0,0.7857,1.0,STOP,3.975,0.0,0.0,0.0,0.0,27.8651,9.3152,107.3513,0.382,1.0381,0.4486,1.4226,0.0634,5.2783,0.0101,0.0
16,1.3866,canny_hough,pid,0,0,0,0.0,0.0,,,0.0,0.55,1.0,STOP,3.975,0.0,0.0,0.0,0.0,43.0729,11.0164,90.7736,0.5617,2.1595,0.7946,3.7293,0.0462,5.652,0.0094,0.0
17,1.4691,canny_hough,pid,0,1,1,0.45,319.0,,456.2665,159.0,48.085,1.0,STOP,3.975,0.0,0.0,0.0,0.0,42.5046,14.5858,68.56,0.4201,5.3638,0.4384,3.4986,0.0761,26.2662,0.2125,25.7844
18,1.5007,canny_hough,pid,0,0,0,0.0,0.0,,,0.0,33.6595,1.0,STOP,3.975,0.0,0.0,0.0,0.0,54.3178,83.2542,12.0114,0.4274,8.4069,0.4693,12.3327,0.0876,7.5445,0.0083,0.0
19,1.5178,canny_hough,pid,0,0,0,0.0,0.0,,,0.0,23.5616,1.0,STOP,3.975,0.0,0.0,0.0,0.0,28.4732,31.815,31.4317,0.5851,2.6409,0.8143,3.1564,0.0581,7.3316,0.0092,0.0
20,1.5361,canny_hough,pid,0,1,1,0.6,319.0,,448.7144,159.0,64.1931,1.0,STOP,3.975,0.0,0.0,0.0,0.0,28.3873,16.3803,61.0489,0.4149,1.6163,0.4774,2.6124,0.1009,10.7689,0.2228,0.0
21,1.5676,canny_hough,pid,0,1,1,0.6,319.0,,448.7144,159.0,92.6352,1.0,STOP,3.975,0.0,0.0,0.0,0.0,44.5161,20.1406,49.651,0.6556,1.8118,0.6293,2.4641,0.097,6.3668,0.1659,9.629
22,1.5866,canny_hough,pid,0,0,0,0.0,0.0,,,0.0,64.8446,1.0,STOP,3.975,0.0,0.0,0.0,0.0,45.6825,31.5711,31.6745,0.4342,2.3072,0.4351,3.713,0.0513,8.4222,0.0081,0.0
23,1.6011,canny_hough,pid,0,1,1,0.6,319.0,,455.26,159.0,93.0912,1.0,STOP,3.975,0.0,0.0,0.0,0.0,31.7326,16.8878,59.2145,0.3982,4.5985,0.7973,1.8673,0.0521,5.1472,0.1484,0.0
24,1.6108,canny_hough,pid,0,0,0,0.0,0.0,,,0.0,65.1639,1.0,STOP,3.975,0.0,0.0,0.0,0.0,17.1634,14.4255,69.3219,0.387,1.0917,0.4548,1.4577,0.0537,4.7799,0.0086,0.0
25,1.6383,canny_hough,pid,0,0,0,0.0,0.0,,,0.0,45.6147,1.0,STOP,3.975,0.0,0.0,0.0,0.0,27.2654,9.6303,103.8394,0.3881,1.0586,0.4087,1.4682,0.0546,5.2484,0.0098,8.9536
26,1.6487,canny_hough,pid,0,1,1,0.6,319.0,,448.1413,159.0,79.6303,1.0,STOP,3.975,0.0,0.0,0.0,0.0,24.4604,27.6675,36.1435,0.3962,1.0422,0.4637,1.3789,0.0578,5.4274,0.1601,0.0
27,1.6587,canny_hough,pid,0,1,1,0.6,319.0,,448.1413,159.0,103.4412,1.0,STOP,3.975,0.0,0.0,0.0,0.0,34.484,10.4282,95.8938,0.3958,1.049,0.4439,1.1742,0.0584,5.153,0.1477,0.0
28,1.6689,canny_hough,pid,0,1,1,0.6,319.0,,448.1413,159.0,120.1088,1.0,STOP,3.975,0.0,0.0,0.0,0.0,44.6539,10.296,97.1254,0.6257,1.1022,0.4181,1.1625,0.0539,4.8627,0.1491,0.0
29,1.6946,canny_hough,pid,0,1,1,0.6,319.0,,453.4577,159.0,131.7762,1.0,STOP,3.975,0.0,0.0,0.0,0.0,18.482,9.8249,101.7824,0.3807,1.0214,0.4081,1.5416,0.0551,5.4449,0.1555,9.2569
30,1.7058,canny_hough,pid,0,0,0,0.0,0.0,,,0.0,92.2433,1.0,STOP,3.975,0.0,0.0,0.0,0.0,19.5293,25.7521,38.8318,0.3918,2.048,0.4774,1.4133,0.0603,5.2132,0.008,0.0
31,1.7166,canny_hough,pid,0,0,0,0.0,0.0,,,0.0,64.5703,1.0,STOP,3.975,0.0,0.0,0.0,0.0,30.3496,11.0668,90.3601,0.3928,1.1201,0.4601,2.1446,0.0619,5.2224,0.0089,0.0
32,1.7288,canny_hough,pid,0,0,0,0.0,0.0,,,0.0,45.1992,1.0,STOP,3.975,0.0,0.0,0.0,0.0,42.5471,11.3327,88.2405,0.6227,1.1682,0.6248,2.6821,0.0436,4.9059,0.0092,0.0
33,1.7722,canny_hough,pid,0,1,1,0.45,319.0,,451.7143,159.0,79.3395,1.0,STOP,3.975,0.0,0.0,0.0,0.0,23.3811,11.7508,85.1004,0.4032,1.0121,0.4041,1.4827,0.0546,12.9214,0.1931,19.2218
34,1.7942,canny_hough,pid,0,0,0,0.0,0.0,,,0.0,55.5376,1.0,STOP,3.975,0.0,0.0,0.0,0.0,34.7501,45.7811,21.8431,0.503,1.339,0.8302,2.4473,0.0783,12.8011,0.0075,0.0
