frame,t_rel,algorithm,controller,armed,detected,inferred,confidence,lane_center,left_x,right_x,error_px,smoothed_error_px,steer,command,p_term,i_term,d_term,left_duty,right_duty,latency_ms,loop_ms,fps,t_grayscale,t_blur,t_threshold,t_canny,t_roi,t_detect,t_control,t_render
1,0.8443,histogram,pid,0,1,0,1.0,155.3524,12.4475,298.2573,-4.6476,-1.3943,-0.1162,STOP,-0.1162,-0.0,0.0,0.0,0.0,71.3133,0.0,0.0,0.8316,19.2339,1.2484,6.1179,0.0634,18.0982,0.3607,770.2867
2,0.8604,histogram,pid,0,1,0,1.0,155.4636,12.4452,298.4819,-4.5364,-2.3369,-0.1346,STOP,-0.1134,-0.0213,0.0001,0.0,0.0,17.6951,832.9203,1.2006,0.4444,1.0309,0.4975,1.5738,0.1358,4.485,0.1663,0.0
3,0.8776,histogram,pid,0,1,0,1.0,155.4636,12.4452,298.4819,-4.5364,-2.9968,-0.1353,STOP,-0.1134,-0.022,0.0001,0.0,0.0,34.8424,16.1504,61.918,0.4625,1.3337,0.5056,1.4772,0.0548,5.2916,0.1508,0.0
4,0.8931,histogram,pid,0,1,0,1.0,155.4636,12.4452,298.4819,-4.5364,-3.4587,-0.1361,STOP,-0.1134,-0.0227,0.0,0.0,0.0,50.3848,17.3756,57.552,0.4396,0.9987,0.371,1.1808,0.0527,4.3862,0.1478,0.0
5,0.9266,histogram,pid,0,1,0,1.0,158.7798,12.3722,305.1874,-1.2202,-2.7871,0.0295,STOP,-0.0305,-0.0229,0.0829,0.0,0.0,31.2052,15.002,66.6577,0.476,1.531,0.4592,2.0719,0.0472,4.7298,0.149,10.4583
6,0.9444,histogram,pid,0,1,0,1.0,156.2838,12.4463,300.1213,-3.7162,-3.0659,-0.0867,STOP,-0.0929,-0.0241,0.0303,0.0,0.0,33.2827,33.7637,29.6176,0.433,1.9488,0.4493,2.6933,0.0378,4.4402,0.1557,0.0
7,0.9603,histogram,pid,0,1,0,1.0,157.825,12.4382,303.2118,-2.175,-2.7986,-0.0244,STOP,-0.0544,-0.0244,0.0544,0.0,0.0,21.2898,17.4162,57.4179,0.4348,1.0173,0.3881,1.716,0.053,4.654,0.198,0.0
8,0.9757,histogram,pid,0,1,0,1.0,157.825,12.4382,303.2118,-2.175,-2.6115,-0.0411,STOP,-0.0544,-0.0248,0.0381,0.0,0.0,36.7658,16.1428,61.9472,0.6303,1.1371,0.3851,1.0441,0.0519,4.4457,0.1578,0.0
9,1.0073,histogram,pid,0,1,0,1.0,149.5217,12.4473,286.5961,-10.4783,-4.9716,-0.4676,STOP,-0.262,-0.0263,-0.1793,0.0,0.0,23.062,15.1144,66.1619,0.4412,1.0499,0.3847,1.1265,0.0528,4.6662,0.1736,11.3024
10,1.0228,histogram,pid,0,1,0,1.0,155.8376,12.4292,299.246,-4.1624,-4.7288,-0.1823,STOP,-0.1041,-0.0275,-0.0508,0.0,0.0,23.2252,31.682,31.5637,0.4414,1.0627,0.3911,1.1954,0.0553,4.7601,0.1849,0.0
11,1.0625,histogram,pid,0,1,0,1.0,155.8376,12.4292,299.246,-4.1624,-4.5589,-0.1679,STOP,-0.1041,-0.0283,-0.0356,0.0,0.0,62.7594,20.596,48.5531,4.621,3.364,0.7688,2.2176,0.0572,15.0985,0.6631,0.0
12,1.109,histogram,pid,0,1,0,1.0,155.3693,12.4264,298.3122,-4.6307,-4.5804,-0.1746,STOP,-0.1158,-0.0305,-0.0283,0.0,0.0,74.728,51.9441,19.2515,2.8979,1.3786,0.5815,4.2263,0.0931,11.1303,0.1601,0.0
13,1.1579,histogram,pid,0,1,0,1.0,148.5904,12.4473,284.7335,-11.4096,-6.6292,-0.4251,STOP,-0.2852,-0.0337,-0.1062,0.0,0.0,29.6032,29.4264,33.9831,0.4794,2.2757,0.4672,1.8685,0.0603,14.5279,0.1468,12.5081
14,1.1881,histogram,pid,0,1,0,1.0,148.6767,12.4473,284.9062,-11.3233,-8.0374,-0.3962,STOP,-0.2831,-0.0394,-0.0737,0.0,0.0,47.3187,53.6235,18.6485,0.435,1.2198,0.5481,3.709,0.0448,10.5168,0.3088,0.0
15,1.2183,histogram,pid,0,1,0,1.0,154.7417,12.4473,297.036,-5.2583,-7.2037,-0.1483,STOP,-0.1315,-0.0409,0.0241,0.0,0.0,42.9864,30.0572,33.2699,0.5394,1.8828,0.6499,8.3343,0.0655,6.2642,0.1842,0.0
16,1.2376,histogram,pid,0,1,0,1.0,151.5752,12.4473,290.7031,-8.4248,-7.57,-0.2788,STOP,-0.2106,-0.0431,-0.0251,0.0,0.0,40.4591,28.3421,35.2832,0.4539,2.2314,0.4422,0.9892,0.0573,4.6687,0.1536,0.0
17,1.2776,histogram,pid,0,1,0,1.0,150.4464,12.4473,288.4455,-9.5536,-8.1651,-0.3251,STOP,-0.2388,-0.0447,-0.0416,0.0,0.0,35.1141,17.5867,56.8612,0.8446,4.2828,0.4649,3.7381,0.0913,4.7382,0.1495,9.0005
18,1.2934,histogram,pid,0,1,0,1.0,149.5507,12.4473,286.654,-10.4493,-8.8504,-0.3474,STOP,-0.2612,-0.0485,-0.0376,0.0,0.0,37.2474,39.4174,25.3695,0.4251,1.0053,0.3829,1.1473,0.0592,4.5165,0.1471,0.0
19,1.3089,histogram,pid,0,1,0,1.0,150.5733,12.4473,288.6993,-9.4267,-9.0233,-0.2865,STOP,-0.2357,-0.0499,-0.0009,0.0,0.0,26.7249,15.0744,66.3377,0.4412,0.9981,0.3804,1.2133,0.0507,4.915,0.1583,0.0
20,1.3244,histogram,pid,0,1,0,1.0,150.5733,12.4473,288.6993,-9.4267,-9.1443,-0.2876,STOP,-0.2357,-0.0513,-0.0006,0.0,0.0,42.2566,15.9622,62.6481,0.4451,1.0086,0.38,1.1839,0.0521,4.5394,0.1472,0.0
