frame,t_rel,algorithm,controller,armed,detected,inferred,confidence,lane_center,left_x,right_x,error_px,smoothed_error_px,steer,command,p_term,i_term,d_term,left_duty,right_duty,latency_ms,loop_ms,fps,t_grayscale,t_blur,t_threshold,t_canny,t_roi,t_detect,t_control,t_render
1,5.0474,histogram,pid,0,1,0,0.1972,159.2814,11.1301,307.4328,-0.7186,-0.2156,-0.018,STOP,-0.018,-0.0,0.0,0.0,0.0,277.12,0.0,0.0,24.7484,45.1406,13.586,51.7786,0.057,19.6455,0.4232,4437.2047
2,5.0673,histogram,pid,0,1,0,0.1958,159.1916,10.9908,307.3925,-0.8084,-0.3934,-0.0241,STOP,-0.0202,-0.0038,-0.0001,0.0,0.0,45.2072,4657.0791,0.2147,0.4803,1.1046,0.5206,1.64,0.0668,4.7503,0.238,0.0
3,5.0869,histogram,pid,0,1,0,0.1972,159.2173,10.9854,307.4492,-0.7827,-0.5102,-0.023,STOP,-0.0196,-0.0039,0.0005,0.0,0.0,30.2729,17.3897,57.5052,0.4983,2.368,0.5314,1.4061,0.0509,6.0847,0.1607,0.0
4,5.1048,histogram,pid,0,1,0,0.1972,159.2173,10.9854,307.4492,-0.7827,-0.592,-0.0233,STOP,-0.0196,-0.0041,0.0004,0.0,0.0,48.2657,21.5998,46.2967,0.4523,1.0674,0.43,1.0899,0.0511,4.2697,0.1443,0.0
5,5.6624,histogram,pid,0,1,0,0.1958,159.2172,10.9684,307.4661,-0.7828,-0.6492,-0.0235,STOP,-0.0196,-0.0042,0.0002,0.0,0.0,39.6475,18.2933,54.6648,2.0904,2.3785,0.8426,2.6915,0.0552,5.8563,0.207,21.6708
6,5.6797,histogram,pid,0,1,0,0.1958,159.2043,10.9834,307.4253,-0.7957,-0.6931,-0.0277,STOP,-0.0199,-0.0079,0.0002,0.0,0.0,26.8058,554.9618,1.8019,0.4433,1.506,0.4306,1.7329,0.0596,4.7543,0.1689,0.0
7,5.7022,histogram,pid,0,1,0,0.1958,159.2043,10.9834,307.4253,-0.7957,-0.7239,-0.0279,STOP,-0.0199,-0.0081,0.0001,0.0,0.0,49.2394,23.4132,42.7109,0.4422,1.524,0.4563,1.2824,0.0533,4.2391,0.1465,0.0
8,5.7212,histogram,pid,0,1,0,0.1958,159.2608,11.0667,307.4548,-0.7392,-0.7285,-0.0254,STOP,-0.0185,-0.0082,0.0013,0.0,0.0,35.0188,16.8779,59.2492,0.4346,3.7745,0.451,1.0443,0.0498,4.3637,0.2348,0.0
9,5.7643,histogram,pid,0,1,0,0.1958,159.1469,10.9038,307.3899,-0.8531,-0.7659,-0.0311,STOP,-0.0213,-0.0084,-0.0014,0.0,0.0,23.741,18.6666,53.5716,0.4893,0.9992,0.4595,1.5226,0.0496,4.8972,0.1471,12.7861
10,5.7824,histogram,pid,0,1,0,0.1958,159.1955,10.9936,307.3974,-0.8045,-0.7775,-0.0294,STOP,-0.0201,-0.0087,-0.0005,0.0,0.0,32.5642,43.5327,22.9712,0.4503,1.1334,0.5224,1.6609,0.0623,5.2286,0.1469,0.0
11,5.7992,histogram,pid,0,1,0,0.1958,159.1955,10.9936,307.3974,-0.8045,-0.7856,-0.0293,STOP,-0.0201,-0.0089,-0.0004,0.0,0.0,49.3682,18.0926,55.2713,0.4918,1.0263,0.4061,1.5969,0.0546,4.1933,0.1812,0.0
12,5.8156,histogram,pid,0,1,0,0.1958,159.2146,10.9202,307.509,-0.7854,-0.7855,-0.0284,STOP,-0.0196,-0.009,0.0002,0.0,0.0,32.5782,16.765,59.6481,0.445,1.0483,0.4048,1.321,0.0713,4.1814,0.162,0.0
13,5.8498,histogram,pid,0,1,0,0.1958,159.2116,10.9802,307.4431,-0.7884,-0.7864,-0.0288,STOP,-0.0197,-0.0091,0.0,0.0,0.0,24.1777,15.7717,63.4048,0.4411,1.0215,0.3928,2.2657,0.0552,4.3266,0.1554,11.2365
14,5.8661,histogram,pid,0,1,0,0.1958,159.2363,11.0596,307.4129,-0.7637,-0.7796,-0.0281,STOP,-0.0191,-0.0093,0.0003,0.0,0.0,24.7659,34.3531,29.1095,0.4428,1.0639,0.3998,1.3997,0.0624,4.4357,0.1548,0.0
15,5.8824,histogram,pid,0,1,0,0.1958,159.2363,11.0596,307.4129,-0.7637,-0.7748,-0.0283,STOP,-0.0191,-0.0095,0.0002,0.0,0.0,41.1199,16.5856,60.2934,0.4398,1.0548,0.3961,1.5389,0.0542,4.1164,0.149,0.0
16,5.8996,histogram,pid,0,1,0,0.1958,159.2571,11.0753,307.4389,-0.7429,-0.7653,-0.0275,STOP,-0.0186,-0.0096,0.0006,0.0,0.0,28.6376,16.1866,61.7794,0.438,1.0434,0.4525,1.3936,0.1225,4.9963,0.1809,0.0
17,5.9332,histogram,pid,0,1,0,0.1958,159.2571,11.0753,307.4389,-0.7429,-0.7585,-0.0278,STOP,-0.0186,-0.0097,0.0004,0.0,0.0,46.2156,17.5182,57.0835,0.6928,1.541,0.4437,1.4228,0.0569,4.4759,0.1918,10.6681
18,5.9517,histogram,pid,0,1,0,0.1958,159.162,10.9115,307.4125,-0.838,-0.7824,-0.0317,STOP,-0.0209,-0.01,-0.0008,0.0,0.0,41.7773,33.5995,29.7623,0.4355,2.8811,0.4528,1.4408,0.0598,4.3493,0.1596,0.0
19,5.9711,histogram,pid,0,1,0,0.1958,159.2424,11.0494,307.4354,-0.7576,-0.7749,-0.028,STOP,-0.0189,-0.0101,0.001,0.0,0.0,29.9615,19.8207,50.4524,0.4451,1.1184,0.5295,1.4774,0.0416,5.2967,0.154,0.0
20,5.9867,histogram,pid,0,1,0,0.1958,159.1446,10.9067,307.3825,-0.8554,-0.7991,-0.033,STOP,-0.0214,-0.0102,-0.0014,0.0,0.0,17.2168,17.5083,57.1157,0.4874,1.068,0.3996,1.2149,0.068,4.0048,0.1477,0.0
21,6.0181,histogram,pid,0,1,0,0.1958,159.1446,10.9067,307.3825,-0.8554,-0.816,-0.0327,STOP,-0.0214,-0.0104,-0.001,0.0,0.0,34.6135,16.1376,61.967,0.4986,1.1987,0.4292,1.2697,0.0528,4.9207,0.2936,9.0401
22,6.0346,histogram,pid,0,1,0,0.1958,159.1692,10.9056,307.4327,-0.8308,-0.8204,-0.0318,STOP,-0.0208,-0.0106,-0.0004,0.0,0.0,37.7225,31.3404,31.9076,0.7548,1.1355,0.4289,1.2395,0.0516,4.0229,0.167,0.0
23,6.0502,histogram,pid,0,1,0,0.1958,159.2459,11.027,307.4648,-0.7541,-0.8005,-0.028,STOP,-0.0189,-0.0107,0.0015,0.0,0.0,22.1234,15.9184,62.8204,0.4385,1.0945,0.402,1.2212,0.0508,4.1318,0.1665,0.0
24,6.0666,histogram,pid,0,1,0,0.1958,159.2459,11.027,307.4648,-0.7541,-0.7866,-0.0286,STOP,-0.0189,-0.0108,0.0011,0.0,0.0,38.5448,16.3566,61.1375,0.4453,1.1216,0.4081,1.2442,0.0643,4.0908,0.1549,0.0
25,6.1016,histogram,pid,0,1,0,0.1958,159.1621,10.9573,307.3669,-0.8379,-0.802,-0.0332,STOP,-0.0209,-0.011,-0.0013,0.0,0.0,23.1938,15.6613,63.8516,0.4373,1.1061,0.4078,1.4446,0.091,4.1059,0.1496,13.6695
26,6.1189,histogram,pid,0,1,0,0.1958,159.1723,10.961,307.3835,-0.8277,-0.8097,-0.0327,STOP,-0.0207,-0.0112,-0.0008,0.0,0.0,24.0818,35.4522,28.207,0.4455,1.1052,0.4347,1.4387,0.0632,5.0508,0.1459,0.0
27,6.1364,histogram,pid,0,1,0,0.1958,159.1723,10.961,307.3835,-0.8277,-0.8151,-0.0326,STOP,-0.0207,-0.0114,-0.0005,0.0,0.0,41.5667,17.0185,58.7597,0.472,1.151,0.5163,1.3137,0.0695,5.4513,0.1534,0.0
28,6.1533,histogram,pid,0,1,0,0.1958,159.1723,10.961,307.3835,-0.8277,-0.8189,-0.0326,STOP,-0.0207,-0.0115,-0.0004,0.0,0.0,58.4542,17.8848,55.9135,0.4856,1.0533,0.4207,1.5893,0.1102,4.3433,0.1427,0.0
29,6.1848,histogram,pid,0,1,0,0.1958,159.2177,11.0342,307.4012,-0.7823,-0.8079,-0.0305,STOP,-0.0196,-0.0116,0.0007,0.0,0.0,33.6614,17.427,57.3822,0.4289,1.0823,0.4203,1.4048,0.0662,4.6027,0.1609,9.8224
30,6.2011,histogram,pid,0,1,0,0.1958,159.2087,11.0352,307.3822,-0.7913,-0.8029,-0.0313,STOP,-0.0198,-0.0119,0.0004,0.0,0.0,37.8279,31.1317,32.1216,0.425,1.0103,0.3992,1.2207,0.0552,4.2281,0.1517,0.0
31,6.2178,histogram,pid,0,1,0,0.1958,159.2177,10.9999,307.4354,-0.7823,-0.7968,-0.0311,STOP,-0.0196,-0.012,0.0005,0.0,0.0,27.3172,15.7165,63.6275,0.4286,0.9974,0.3897,1.2727,0.0585,4.9625,0.141,0.0
32,6.2342,histogram,pid,0,1,0,0.1958,159.2177,10.9999,307.4354,-0.7823,-0.7924,-0.0313,STOP,-0.0196,-0.0121,0.0003,0.0,0.0,43.8051,16.7835,59.5822,0.4382,1.0529,0.3954,1.886,0.055,4.1766,0.1466,0.0
33,6.2647,histogram,pid,0,1,0,0.1972,159.1968,10.95,307.4437,-0.8032,-0.7956,-0.0325,STOP,-0.0201,-0.0122,-0.0002,0.0,0.0,30.2992,16.3308,61.2339,0.4253,1.0688,0.423,1.26,0.0526,4.6473,0.1422,9.1119
34,6.2824,histogram,pid,0,1,0,0.1958,159.2059,10.9541,307.4577,-0.7941,-0.7952,-0.0324,STOP,-0.0199,-0.0125,-0.0001,0.0,0.0,29.9805,31.2409,32.0093,0.467,1.0672,0.5025,1.4964,0.0512,4.9655,0.1415,0.0
35,6.2998,histogram,pid,0,1,0,0.1958,159.2059,10.9541,307.4577,-0.7941,-0.7949,-0.0325,STOP,-0.0199,-0.0126,-0.0,0.0,0.0,47.3758,17.3839,57.5245,0.4827,1.1698,0.43,2.3705,0.0639,4.0189,0.1613,0.0
36,6.3182,histogram,pid,0,1,0,0.1972,159.1538,10.939,307.3686,-0.8462,-0.8103,-0.035,STOP,-0.0212,-0.0127,-0.0012,0.0,0.0,33.459,17.1963,58.1519,0.4297,1.1509,0.4845,2.7062,0.0425,4.9816,0.1556,0.0
37,6.3529,histogram,pid,0,1,0,0.1972,159.1538,10.939,307.3686,-0.8462,-0.821,-0.0348,STOP,-0.0212,-0.0129,-0.0008,0.0,0.0,52.3567,19.3413,51.7029,0.4241,1.2565,0.3936,2.2776,0.0496,4.9654,0.1562,10.7517
38,6.3708,histogram,pid,0,1,0,0.1958,159.1681,11.009,307.3273,-0.8319,-0.8243,-0.0344,STOP,-0.0208,-0.0131,-0.0004,0.0,0.0,25.531,33.9188,29.4821,0.4487,1.1117,0.4606,1.8909,0.0621,4.98,0.1971,0.0
39,6.388,histogram,pid,0,1,0,0.1958,159.1681,11.009,307.3273,-0.8319,-0.8266,-0.0344,STOP,-0.0208,-0.0133,-0.0003,0.0,0.0,42.7506,18.1728,55.0272,0.456,1.0527,0.4395,1.3029,0.0482,4.7897,0.1702,0.0
40,6.4065,histogram,pid,0,1,0,0.1958,159.2106,10.9668,307.4543,-0.7894,-0.8154,-0.0324,STOP,-0.0197,-0.0134,0.0008,0.0,0.0,31.7153,16.4059,60.9537,0.5045,1.2515,0.4438,2.4989,0.062,5.4272,0.149,0.0
